x1,y1,G_dgm
421807.616311,212046.975532,3067.01246285
421806.631749,212047.150565,3066.79411567
421805.647186,212047.325599,3066.48367697
421804.662624,212047.500632,3066.19213494
421803.678061,212047.675665,3065.91948957
421802.693499,212047.850699,3065.66574088
421801.708936,212048.025732,3065.43088884
421800.724374,212048.200765,3065.23502416
421799.739811,212048.375799,3065.11126602
421798.755249,212048.550832,3064.89331443
421797.770686,212048.725865,3064.65169194
421796.832676,212048.678159,3064.41667667
421796.000625,212048.123459,3064.18826863
421795.168575,212047.568758,3063.96646781
421794.336525,212047.014058,3063.63912269
421793.504475,212046.459358,3063.29531839
421792.672424,212045.904658,3062.94556758
421791.840374,212045.349958,3062.63085039
421791.008324,212044.795257,3062.35713837
421790.176273,212044.240557,3062.09413949
421789.344223,212043.685857,3061.90437891
421788.512173,212043.131157,3061.75623659
421787.680123,212042.576457,3061.60577231
421786.848072,212042.021756,3061.45298606
421786.016022,212041.467056,3061.52103509
421785.183972,212040.912356,3061.62156204
421784.351921,212040.357656,3061.71599156
421783.820811,212039.582301,3061.81001618
421783.542,212038.621955,3061.90363588
421783.26319,212037.661609,3061.99685067
421782.98438,212036.701262,3062.0724285
421782.70557,212035.740916,3062.14411746
421782.42676,212034.78057,3062.21422811
421782.147949,212033.820224,3062.28276045
421781.869139,212032.859878,3062.34971449
421781.590329,212031.899531,3062.42183962
421781.311519,212030.939185,3062.49487357
421781.032709,212029.978839,3062.56790023
421780.753898,212029.018493,3062.64091959
421780.475088,212028.058146,3062.71393166
421780.196278,212027.0978,3062.76457897
421779.917468,212026.137454,3062.80982708
421779.638658,212025.177108,3062.85321356
421779.359847,212024.216762,3062.89473842
421779.081037,212023.256415,3062.93440166
421778.802227,212022.296069,3062.99560908
421778.523417,212021.335723,3063.06136916
421778.244607,212020.375377,3063.12771289
421777.965796,212019.41503,3063.19464028
421777.686986,212018.454684,3063.26215133
421777.408176,212017.494338,3063.28838805
421777.129366,212016.533992,3063.30586723
421776.850556,212015.573645,3063.32247215
421776.571745,212014.613299,3063.33820279
421776.292935,212013.652953,3063.35305917
421776.014125,212012.692607,3063.43462114
421775.735315,212011.732261,3063.53104951
421775.456505,212010.771914,3063.62865614
421775.177694,212009.811568,3063.72744103
421774.898884,212008.851222,3063.82740418
421774.620074,212007.890876,3063.89366865
421774.341264,212006.930529,3063.95219549
421774.062454,212005.970183,3064.0105144
421773.783643,212005.009837,3064.06862538
421773.504833,212004.049491,3064.12652844
421773.226023,212003.089145,3064.19827036
421772.947213,212002.128798,3064.27397614
421772.668403,212001.168452,3064.35044919
421772.389593,212000.208106,3064.4276895
421772.110782,211999.24776,3064.50569709
421771.831972,211998.287413,3064.610862
421771.553162,211997.327067,3064.72395718
421771.274352,211996.366721,3064.83847138
421770.995542,211995.406375,3064.95686967
421770.454047,211994.626413,3065.07716449
421769.657884,211994.021329,3065.17472099
